E:\PetAI\Project\.venv\Scripts\python.exe E:\PetAI\Project\cleanbot\capture_img_client.py
灰度图像接收客户端
服务器: 192.168.4.1:5000
----------------------------------------
尝试连接到 192.168.4.1:5000
连接成功!
图像将保存到: FRAME_QQVGA
开始接收灰度图像...
按 Ctrl+C 停止接收

  -> 保存第 1 帧: FRAME_QQVGA/frame_000001_20260213_120644.png (4.1 KB)
  -> 保存第 2 帧: FRAME_QQVGA/frame_000002_20260213_120644.png (13.5 KB)
  -> 保存第 3 帧: FRAME_QQVGA/frame_000003_20260213_120644.png (13.6 KB)
  -> 保存第 4 帧: FRAME_QQVGA/frame_000004_20260213_120644.png (13.5 KB)
  -> 保存第 5 帧: FRAME_QQVGA/frame_000005_20260213_120644.png (13.5 KB)
[12:06:45] 接收: 14帧 | FPS:  14 | 已保存: 13张 | 速率:  239.1 KB/s
[12:11:21] 接收: 3315帧 | FPS:  13 | 已保存: 3314张 | 速率:  223.9 KB/s
[12:11:22] 接收: 3328帧 | FPS:  13 | 已保存: 3327张 | 速率:  224.0 KB/s
[12:11:23] 接收: 3341帧 | FPS:  13 | 已保存: 3340张 | 速率:  224.0 KB/s
[12:11:24] 接收: 3354帧 | FPS:  13 | 已保存: 3353张 | 速率:  224.0 KB/s
[12:11:25] 接收: 3367帧 | FPS:  13 | 已保存: 3366张 | 速率:  224.1 KB/s
[12:11:26] 接收: 3381帧 | FPS:  14 | 已保存: 3380张 | 速率:  224.1 KB/s
[12:11:28] 接收: 3394帧 | FPS:  13 | 已保存: 3393张 | 速率:  224.1 KB/s
[12:11:29] 接收: 3407帧 | FPS:  13 | 已保存: 3406张 | 速率:  224.2 KB/s
[12:11:30] 接收: 3420帧 | FPS:  13 | 已保存: 3419张 | 速率:  224.2 KB/s
[12:11:31] 接收: 3433帧 | FPS:  13 | 已保存: 3432张 | 速率:  224.3 KB/s
[12:11:32] 接收: 3446帧 | FPS:  13 | 已保存: 3445张 | 速率:  224.3 KB/s
[12:11:33] 接收: 3459帧 | FPS:  13 | 已保存: 3458张 | 速率:  224.3 KB/s
[12:11:34] 接收: 3472帧 | FPS:  13 | 已保存: 3471张 | 速率:  224.3 KB/s
[12:11:35] 接收: 3484帧 | FPS:  12 | 已保存: 3483张 | 速率:  224.3 KB/s
[12:11:36] 接收: 3498帧 | FPS:  14 | 已保存: 3497张 | 速率:  224.4 KB/s
[12:11:37] 接收: 3511帧 | FPS:  13 | 已保存: 3510张 | 速率:  224.4 KB/s
[12:11:38] 接收: 3525帧 | FPS:  14 | 已保存: 3524张 | 速率:  224.4 KB/s
[12:11:39] 接收: 3538帧 | FPS:  13 | 已保存: 3537张 | 速率:  224.5 KB/s
[12:11:40] 接收: 3551帧 | FPS:  13 | 已保存: 3550张 | 速率:  224.5 KB/s
[12:11:41] 接收: 3564帧 | FPS:  13 | 已保存: 3563张 | 速率:  224.5 KB/s
[12:11:42] 接收: 3576帧 | FPS:  12 | 已保存: 3575张 | 速率:  224.5 KB/s
[12:11:43] 接收: 3589帧 | FPS:  13 | 已保存: 3588张 | 速率:  224.6 KB/s
[12:11:44] 接收: 3602帧 | FPS:  13 | 已保存: 3601张 | 速率:  224.6 KB/s
[12:11:45] 接收: 3615帧 | FPS:  13 | 已保存: 3614张 | 速率:  224.7 KB/s
[12:11:46] 接收: 3628帧 | FPS:  13 | 已保存: 3627张 | 速率:  224.7 KB/s
[12:11:47] 接收: 3641帧 | FPS:  13 | 已保存: 3640张 | 速率:  224.7 KB/s
[12:11:48] 接收: 3654帧 | FPS:  13 | 已保存: 3653张 | 速率:  224.7 KB/s
[12:11:50] 接收: 3668帧 | FPS:  14 | 已保存: 3667张 | 速率:  224.8 KB/s
[12:11:51] 接收: 3680帧 | FPS:  12 | 已保存: 3679张 | 速率:  224.8 KB/s
[12:11:52] 接收: 3693帧 | FPS:  13 | 已保存: 3692张 | 速率:  224.9 KB/s
[12:11:53] 接收: 3706帧 | FPS:  13 | 已保存: 3705张 | 速率:  224.9 KB/s
[12:11:54] 接收: 3718帧 | FPS:  12 | 已保存: 3717张 | 速率:  224.9 KB/s
[12:11:55] 接收: 3731帧 | FPS:  13 | 已保存: 3730张 | 速率:  224.9 KB/s
[12:11:56] 接收: 3744帧 | FPS:  13 | 已保存: 3743张 | 速率:  225.0 KB/s
[12:11:57] 接收: 3757帧 | FPS:  13 | 已保存: 3756张 | 速率:  225.0 KB/s
[12:11:58] 接收: 3769帧 | FPS:  12 | 已保存: 3768张 | 速率:  225.0 KB/s
[12:11:59] 接收: 3782帧 | FPS:  13 | 已保存: 3781张 | 速率:  225.1 KB/s
[12:12:00] 接收: 3795帧 | FPS:  13 | 已保存: 3794张 | 速率:  225.1 KB/s
[12:12:01] 接收: 3807帧 | FPS:  12 | 已保存: 3806张 | 速率:  225.1 KB/s
[12:12:02] 接收: 3821帧 | FPS:  14 | 已保存: 3820张 | 速率:  225.2 KB/s
[12:12:03] 接收: 3833帧 | FPS:  12 | 已保存: 3832张 | 速率:  225.2 KB/s
[12:12:04] 接收: 3846帧 | FPS:  13 | 已保存: 3845张 | 速率:  225.2 KB/s
[12:12:05] 接收: 3859帧 | FPS:  13 | 已保存: 3858张 | 速率:  225.2 KB/s
[12:12:06] 接收: 3872帧 | FPS:  13 | 已保存: 3871张 | 速率:  225.3 KB/s
[12:12:07] 接收: 3885帧 | FPS:  13 | 已保存: 3884张 | 速率:  225.3 KB/s
[12:12:08] 接收: 3898帧 | FPS:  13 | 已保存: 3897张 | 速率:  225.3 KB/s
[12:12:09] 接收: 3911帧 | FPS:  13 | 已保存: 3910张 | 速率:  225.4 KB/s
[12:12:10] 接收: 3924帧 | FPS:  13 | 已保存: 3923张 | 速率:  225.4 KB/s
[12:12:11] 接收: 3937帧 | FPS:  13 | 已保存: 3936张 | 速率:  225.4 KB/s
[12:12:12] 接收: 3950帧 | FPS:  13 | 已保存: 3949张 | 速率:  225.4 KB/s
[12:12:13] 接收: 3963帧 | FPS:  13 | 已保存: 3962张 | 速率:  225.5 KB/s
[12:12:14] 接收: 3976帧 | FPS:  13 | 已保存: 3975张 | 速率:  225.5 KB/s
[12:12:15] 接收: 3989帧 | FPS:  13 | 已保存: 3988张 | 速率:  225.6 KB/s
[12:12:16] 接收: 4002帧 | FPS:  13 | 已保存: 4001张 | 速率:  225.6 KB/s
[12:12:17] 接收: 4015帧 | FPS:  13 | 已保存: 4014张 | 速率:  225.6 KB/s
[12:12:18] 接收: 4028帧 | FPS:  13 | 已保存: 4027张 | 速率:  225.6 KB/s
[12:12:19] 接收: 4041帧 | FPS:  13 | 已保存: 4040张 | 速率:  225.6 KB/s
[12:12:20] 接收: 4054帧 | FPS:  13 | 已保存: 4053张 | 速率:  225.6 KB/s
[12:12:22] 接收: 4066帧 | FPS:  12 | 已保存: 4065张 | 速率:  225.6 KB/s
[12:12:23] 接收: 4078帧 | FPS:  12 | 已保存: 4077张 | 速率:  225.6 KB/s
[12:12:24] 接收: 4091帧 | FPS:  13 | 已保存: 4090张 | 速率:  225.6 KB/s
[12:12:25] 接收: 4104帧 | FPS:  13 | 已保存: 4103张 | 速率:  225.6 KB/s
[12:12:26] 接收: 4117帧 | FPS:  13 | 已保存: 4116张 | 速率:  225.7 KB/s
[12:12:27] 接收: 4130帧 | FPS:  13 | 已保存: 4129张 | 速率:  225.7 KB/s
[12:12:28] 接收: 4143帧 | FPS:  13 | 已保存: 4142张 | 速率:  225.7 KB/s
[12:12:29] 接收: 4156帧 | FPS:  13 | 已保存: 4155张 | 速率:  225.8 KB/s
[12:12:30] 接收: 4169帧 | FPS:  13 | 已保存: 4168张 | 速率:  225.8 KB/s
[12:12:31] 接收: 4183帧 | FPS:  14 | 已保存: 4182张 | 速率:  225.8 KB/s
[12:12:32] 接收: 4196帧 | FPS:  13 | 已保存: 4195张 | 速率:  225.8 KB/s
[12:12:33] 接收: 4209帧 | FPS:  13 | 已保存: 4208张 | 速率:  225.9 KB/s
[12:12:34] 接收: 4221帧 | FPS:  12 | 已保存: 4220张 | 速率:  225.9 KB/s
[12:12:35] 接收: 4234帧 | FPS:  13 | 已保存: 4233张 | 速率:  225.9 KB/s
[12:12:36] 接收: 4248帧 | FPS:  14 | 已保存: 4247张 | 速率:  225.9 KB/s
[12:12:37] 接收: 4261帧 | FPS:  13 | 已保存: 4260张 | 速率:  226.0 KB/s
[12:12:38] 接收: 4274帧 | FPS:  13 | 已保存: 4273张 | 速率:  226.0 KB/s
[12:12:39] 接收: 4286帧 | FPS:  12 | 已保存: 4285张 | 速率:  226.0 KB/s
[12:12:40] 接收: 4300帧 | FPS:  14 | 已保存: 4299张 | 速率:  226.0 KB/s
[12:12:41] 接收: 4313帧 | FPS:  13 | 已保存: 4312张 | 速率:  226.1 KB/s
[12:12:42] 接收: 4326帧 | FPS:  13 | 已保存: 4325张 | 速率:  226.1 KB/s
[12:12:43] 接收: 4339帧 | FPS:  13 | 已保存: 4338张 | 速率:  226.1 KB/s
[12:12:44] 接收: 4352帧 | FPS:  13 | 已保存: 4351张 | 速率:  226.1 KB/s
[12:12:45] 接收: 4364帧 | FPS:  12 | 已保存: 4363张 | 速率:  226.1 KB/s
[12:12:47] 接收: 4377帧 | FPS:  13 | 已保存: 4376张 | 速率:  226.1 KB/s
[12:12:48] 接收: 4390帧 | FPS:  13 | 已保存: 4389张 | 速率:  226.2 KB/s
[12:12:49] 接收: 4403帧 | FPS:  13 | 已保存: 4402张 | 速率:  226.2 KB/s
[12:12:50] 接收: 4416帧 | FPS:  13 | 已保存: 4415张 | 速率:  226.2 KB/s
[12:12:51] 接收: 4429帧 | FPS:  13 | 已保存: 4428张 | 速率:  226.2 KB/s
[12:12:52] 接收: 4442帧 | FPS:  13 | 已保存: 4441张 | 速率:  226.3 KB/s
[12:12:53] 接收: 4455帧 | FPS:  13 | 已保存: 4454张 | 速率:  226.3 KB/s
[12:12:54] 接收: 4467帧 | FPS:  12 | 已保存: 4466张 | 速率:  226.3 KB/s
[12:12:55] 接收: 4480帧 | FPS:  13 | 已保存: 4479张 | 速率:  226.3 KB/s
[12:12:56] 接收: 4492帧 | FPS:  12 | 已保存: 4491张 | 速率:  226.3 KB/s
[12:12:57] 接收: 4505帧 | FPS:  13 | 已保存: 4504张 | 速率:  226.3 KB/s
[12:12:58] 接收: 4518帧 | FPS:  13 | 已保存: 4517张 | 速率:  226.4 KB/s
[12:12:59] 接收: 4531帧 | FPS:  13 | 已保存: 4530张 | 速率:  226.4 KB/s
[12:13:00] 接收: 4544帧 | FPS:  13 | 已保存: 4543张 | 速率:  226.4 KB/s
[12:13:01] 接收: 4557帧 | FPS:  13 | 已保存: 4556张 | 速率:  226.4 KB/s
[12:13:02] 接收: 4570帧 | FPS:  13 | 已保存: 4569张 | 速率:  226.5 KB/s
[12:13:03] 接收: 4583帧 | FPS:  13 | 已保存: 4582张 | 速率:  226.5 KB/s
[12:13:04] 接收: 4596帧 | FPS:  13 | 已保存: 4595张 | 速率:  226.5 KB/s
[12:13:05] 接收: 4609帧 | FPS:  13 | 已保存: 4608张 | 速率:  226.5 KB/s
[12:13:06] 接收: 4622帧 | FPS:  13 | 已保存: 4621张 | 速率:  226.5 KB/s
[12:13:07] 接收: 4635帧 | FPS:  13 | 已保存: 4634张 | 速率:  226.6 KB/s
[12:13:08] 接收: 4649帧 | FPS:  14 | 已保存: 4648张 | 速率:  226.6 KB/s
[12:13:09] 接收: 4663帧 | FPS:  14 | 已保存: 4662张 | 速率:  226.6 KB/s
[12:13:10] 接收: 4676帧 | FPS:  13 | 已保存: 4675张 | 速率:  226.6 KB/s
[12:13:12] 接收: 4689帧 | FPS:  13 | 已保存: 4688张 | 速率:  226.7 KB/s
[12:13:13] 接收: 4702帧 | FPS:  13 | 已保存: 4701张 | 速率:  226.7 KB/s
[12:13:14] 接收: 4715帧 | FPS:  13 | 已保存: 4714张 | 速率:  226.7 KB/s
[12:13:15] 接收: 4728帧 | FPS:  13 | 已保存: 4727张 | 速率:  226.7 KB/s
[12:13:16] 接收: 4741帧 | FPS:  13 | 已保存: 4740张 | 速率:  226.7 KB/s
[12:13:17] 接收: 4754帧 | FPS:  13 | 已保存: 4753张 | 速率:  226.7 KB/s
[12:13:18] 接收: 4768帧 | FPS:  14 | 已保存: 4767张 | 速率:  226.8 KB/s
[12:13:19] 接收: 4782帧 | FPS:  14 | 已保存: 4781张 | 速率:  226.8 KB/s
[12:13:20] 接收: 4795帧 | FPS:  13 | 已保存: 4794张 | 速率:  226.8 KB/s
[12:13:21] 接收: 4808帧 | FPS:  13 | 已保存: 4807张 | 速率:  226.8 KB/s
[12:13:22] 接收: 4821帧 | FPS:  13 | 已保存: 4820张 | 速率:  226.8 KB/s
[12:13:23] 接收: 4834帧 | FPS:  13 | 已保存: 4833张 | 速率:  226.9 KB/s
[12:13:24] 接收: 4846帧 | FPS:  12 | 已保存: 4845张 | 速率:  226.8 KB/s
[12:13:25] 接收: 4859帧 | FPS:  13 | 已保存: 4858张 | 速率:  226.9 KB/s
[12:13:26] 接收: 4872帧 | FPS:  13 | 已保存: 4871张 | 速率:  226.9 KB/s
[12:13:27] 接收: 4885帧 | FPS:  13 | 已保存: 4884张 | 速率:  226.9 KB/s
[12:13:28] 接收: 4898帧 | FPS:  13 | 已保存: 4897张 | 速率:  226.9 KB/s
[12:13:29] 接收: 4910帧 | FPS:  12 | 已保存: 4909张 | 速率:  226.9 KB/s
[12:13:30] 接收: 4924帧 | FPS:  14 | 已保存: 4923张 | 速率:  227.0 KB/s
[12:13:31] 接收: 4937帧 | FPS:  13 | 已保存: 4936张 | 速率:  227.0 KB/s
[12:13:32] 接收: 4949帧 | FPS:  12 | 已保存: 4948张 | 速率:  227.0 KB/s
[12:13:33] 接收: 4962帧 | FPS:  13 | 已保存: 4961张 | 速率:  227.0 KB/s
[12:13:35] 接收: 4975帧 | FPS:  13 | 已保存: 4974张 | 速率:  227.0 KB/s
[12:13:36] 接收: 4988帧 | FPS:  13 | 已保存: 4987张 | 速率:  227.0 KB/s
[12:13:37] 接收: 5002帧 | FPS:  14 | 已保存: 5001张 | 速率:  227.1 KB/s
[12:13:38] 接收: 5015帧 | FPS:  13 | 已保存: 5014张 | 速率:  227.1 KB/s
[12:13:39] 接收: 5028帧 | FPS:  13 | 已保存: 5027张 | 速率:  227.1 KB/s
[12:13:40] 接收: 5041帧 | FPS:  13 | 已保存: 5040张 | 速率:  227.1 KB/s
[12:13:41] 接收: 5055帧 | FPS:  14 | 已保存: 5054张 | 速率:  227.1 KB/s
[12:13:42] 接收: 5068帧 | FPS:  13 | 已保存: 5067张 | 速率:  227.2 KB/s
[12:13:43] 接收: 5081帧 | FPS:  13 | 已保存: 5080张 | 速率:  227.2 KB/s
[12:13:44] 接收: 5094帧 | FPS:  13 | 已保存: 5093张 | 速率:  227.2 KB/s
[12:13:45] 接收: 5106帧 | FPS:  12 | 已保存: 5105张 | 速率:  227.2 KB/s
[12:13:46] 接收: 5119帧 | FPS:  13 | 已保存: 5118张 | 速率:  227.2 KB/s
[12:13:47] 接收: 5132帧 | FPS:  13 | 已保存: 5131张 | 速率:  227.2 KB/s
[12:13:48] 接收: 5145帧 | FPS:  13 | 已保存: 5144张 | 速率:  227.2 KB/s
[12:13:49] 接收: 5158帧 | FPS:  13 | 已保存: 5157张 | 速率:  227.2 KB/s
[12:13:50] 接收: 5171帧 | FPS:  13 | 已保存: 5170张 | 速率:  227.3 KB/s
[12:13:51] 接收: 5184帧 | FPS:  13 | 已保存: 5183张 | 速率:  227.3 KB/s
[12:13:52] 接收: 5198帧 | FPS:  14 | 已保存: 5197张 | 速率:  227.3 KB/s
[12:13:53] 接收: 5211帧 | FPS:  13 | 已保存: 5210张 | 速率:  227.3 KB/s
[12:13:54] 接收: 5224帧 | FPS:  13 | 已保存: 5223张 | 速率:  227.3 KB/s
[12:13:56] 接收: 5237帧 | FPS:  13 | 已保存: 5236张 | 速率:  227.3 KB/s
[12:13:57] 接收: 5250帧 | FPS:  13 | 已保存: 5249张 | 速率:  227.3 KB/s
[12:13:58] 接收: 5263帧 | FPS:  13 | 已保存: 5262张 | 速率:  227.4 KB/s
[12:13:59] 接收: 5276帧 | FPS:  13 | 已保存: 5275张 | 速率:  227.4 KB/s
[12:14:00] 接收: 5290帧 | FPS:  14 | 已保存: 5289张 | 速率:  227.4 KB/s
[12:14:01] 接收: 5303帧 | FPS:  13 | 已保存: 5302张 | 速率:  227.4 KB/s
[12:14:02] 接收: 5316帧 | FPS:  13 | 已保存: 5315张 | 速率:  227.5 KB/s
[12:14:03] 接收: 5328帧 | FPS:  12 | 已保存: 5327张 | 速率:  227.5 KB/s
[12:14:04] 接收: 5341帧 | FPS:  13 | 已保存: 5340张 | 速率:  227.5 KB/s
[12:14:05] 接收: 5354帧 | FPS:  13 | 已保存: 5353张 | 速率:  227.5 KB/s
[12:14:06] 接收: 5367帧 | FPS:  13 | 已保存: 5366张 | 速率:  227.5 KB/s
[12:14:07] 接收: 5380帧 | FPS:  13 | 已保存: 5379张 | 速率:  227.5 KB/s
[12:14:08] 接收: 5393帧 | FPS:  13 | 已保存: 5392张 | 速率:  227.5 KB/s
[12:14:09] 接收: 5406帧 | FPS:  13 | 已保存: 5405张 | 速率:  227.6 KB/s
[12:14:10] 接收: 5419帧 | FPS:  13 | 已保存: 5418张 | 速率:  227.6 KB/s
[12:14:11] 接收: 5431帧 | FPS:  12 | 已保存: 5430张 | 速率:  227.6 KB/s
[12:14:12] 接收: 5445帧 | FPS:  14 | 已保存: 5444张 | 速率:  227.6 KB/s
[12:14:13] 接收: 5458帧 | FPS:  13 | 已保存: 5457张 | 速率:  227.6 KB/s
[12:14:14] 接收: 5471帧 | FPS:  13 | 已保存: 5470张 | 速率:  227.6 KB/s
[12:14:15] 接收: 5484帧 | FPS:  13 | 已保存: 5483张 | 速率:  227.6 KB/s
[12:14:16] 接收: 5498帧 | FPS:  14 | 已保存: 5497张 | 速率:  227.7 KB/s
[12:14:17] 接收: 5511帧 | FPS:  13 | 已保存: 5510张 | 速率:  227.7 KB/s
[12:14:19] 接收: 5524帧 | FPS:  13 | 已保存: 5523张 | 速率:  227.7 KB/s
[12:14:20] 接收: 5537帧 | FPS:  13 | 已保存: 5536张 | 速率:  227.7 KB/s
[12:14:21] 接收: 5550帧 | FPS:  13 | 已保存: 5549张 | 速率:  227.7 KB/s
[12:14:22] 接收: 5563帧 | FPS:  13 | 已保存: 5562张 | 速率:  227.7 KB/s
[12:14:23] 接收: 5576帧 | FPS:  13 | 已保存: 5575张 | 速率:  227.7 KB/s
[12:14:24] 接收: 5589帧 | FPS:  13 | 已保存: 5588张 | 速率:  227.8 KB/s
[12:14:25] 接收: 5603帧 | FPS:  14 | 已保存: 5602张 | 速率:  227.8 KB/s
[12:14:26] 接收: 5616帧 | FPS:  13 | 已保存: 5615张 | 速率:  227.8 KB/s
[12:14:27] 接收: 5629帧 | FPS:  13 | 已保存: 5628张 | 速率:  227.8 KB/s
[12:14:28] 接收: 5642帧 | FPS:  13 | 已保存: 5641张 | 速率:  227.8 KB/s
[12:14:29] 接收: 5655帧 | FPS:  13 | 已保存: 5654张 | 速率:  227.9 KB/s
[12:14:30] 接收: 5667帧 | FPS:  12 | 已保存: 5666张 | 速率:  227.8 KB/s
[12:14:31] 接收: 5680帧 | FPS:  13 | 已保存: 5679张 | 速率:  227.9 KB/s
[12:14:32] 接收: 5693帧 | FPS:  13 | 已保存: 5692张 | 速率:  227.9 KB/s
[12:14:33] 接收: 5706帧 | FPS:  13 | 已保存: 5705张 | 速率:  227.9 KB/s
[12:14:34] 接收: 5719帧 | FPS:  13 | 已保存: 5718张 | 速率:  227.9 KB/s
[12:14:35] 接收: 5732帧 | FPS:  13 | 已保存: 5731张 | 速率:  227.9 KB/s
[12:14:36] 接收: 5745帧 | FPS:  13 | 已保存: 5744张 | 速率:  227.9 KB/s
[12:14:37] 接收: 5757帧 | FPS:  12 | 已保存: 5756张 | 速率:  227.9 KB/s
[12:14:38] 接收: 5770帧 | FPS:  13 | 已保存: 5769张 | 速率:  227.9 KB/s
[12:14:39] 接收: 5783帧 | FPS:  13 | 已保存: 5782张 | 速率:  228.0 KB/s
[12:14:40] 接收: 5796帧 | FPS:  13 | 已保存: 5795张 | 速率:  228.0 KB/s
[12:14:41] 接收: 5809帧 | FPS:  13 | 已保存: 5808张 | 速率:  228.0 KB/s
[12:14:42] 接收: 5822帧 | FPS:  13 | 已保存: 5821张 | 速率:  228.0 KB/s
[12:14:44] 接收: 5836帧 | FPS:  14 | 已保存: 5835张 | 速率:  228.0 KB/s
[12:14:45] 接收: 5850帧 | FPS:  14 | 已保存: 5849张 | 速率:  228.0 KB/s
[12:14:46] 接收: 5864帧 | FPS:  14 | 已保存: 5863张 | 速率:  228.0 KB/s
[12:14:47] 接收: 5877帧 | FPS:  13 | 已保存: 5876张 | 速率:  228.0 KB/s
[12:14:48] 接收: 5891帧 | FPS:  14 | 已保存: 5890张 | 速率:  228.0 KB/s
[12:14:49] 接收: 5904帧 | FPS:  13 | 已保存: 5903张 | 速率:  228.1 KB/s
[12:14:50] 接收: 5917帧 | FPS:  13 | 已保存: 5916张 | 速率:  228.1 KB/s
[12:14:51] 接收: 5930帧 | FPS:  13 | 已保存: 5929张 | 速率:  228.1 KB/s
[12:14:52] 接收: 5942帧 | FPS:  12 | 已保存: 5941张 | 速率:  228.1 KB/s
[12:14:53] 接收: 5956帧 | FPS:  14 | 已保存: 5955张 | 速率:  228.1 KB/s
[12:14:54] 接收: 5969帧 | FPS:  13 | 已保存: 5968张 | 速率:  228.1 KB/s
[12:14:55] 接收: 5982帧 | FPS:  13 | 已保存: 5981张 | 速率:  228.2 KB/s
[12:14:56] 接收: 5995帧 | FPS:  13 | 已保存: 5994张 | 速率:  228.1 KB/s
[12:14:57] 接收: 6009帧 | FPS:  14 | 已保存: 6008张 | 速率:  228.1 KB/s
[12:14:59] 接收: 6022帧 | FPS:  13 | 已保存: 6021张 | 速率:  228.2 KB/s
[12:15:00] 接收: 6035帧 | FPS:  13 | 已保存: 6034张 | 速率:  228.2 KB/s
[12:15:01] 接收: 6048帧 | FPS:  13 | 已保存: 6047张 | 速率:  228.2 KB/s
[12:15:02] 接收: 6060帧 | FPS:  12 | 已保存: 6059张 | 速率:  228.2 KB/s
[12:15:03] 接收: 6073帧 | FPS:  13 | 已保存: 6072张 | 速率:  228.2 KB/s
[12:15:04] 接收: 6086帧 | FPS:  13 | 已保存: 6085张 | 速率:  228.2 KB/s
[12:15:05] 接收: 6098帧 | FPS:  12 | 已保存: 6097张 | 速率:  228.2 KB/s
[12:15:06] 接收: 6108帧 | FPS:  10 | 已保存: 6107张 | 速率:  228.1 KB/s
[12:15:07] 接收: 6121帧 | FPS:  13 | 已保存: 6120张 | 速率:  228.1 KB/s
[12:15:08] 接收: 6134帧 | FPS:  13 | 已保存: 6133张 | 速率:  228.1 KB/s
[12:15:09] 接收: 6147帧 | FPS:  13 | 已保存: 6146张 | 速率:  228.1 KB/s
[12:15:10] 接收: 6160帧 | FPS:  13 | 已保存: 6159张 | 速率:  228.1 KB/s
[12:15:11] 接收: 6172帧 | FPS:  12 | 已保存: 6171张 | 速率:  228.1 KB/s
[12:15:12] 接收: 6185帧 | FPS:  13 | 已保存: 6184张 | 速率:  228.1 KB/s
[12:15:13] 接收: 6198帧 | FPS:  13 | 已保存: 6197张 | 速率:  228.1 KB/s
[12:15:14] 接收: 6210帧 | FPS:  12 | 已保存: 6209张 | 速率:  228.1 KB/s
[12:15:15] 接收: 6223帧 | FPS:  13 | 已保存: 6222张 | 速率:  228.1 KB/s
[12:15:16] 接收: 6235帧 | FPS:  12 | 已保存: 6234张 | 速率:  228.0 KB/s
[12:15:17] 接收: 6248帧 | FPS:  13 | 已保存: 6247张 | 速率:  228.0 KB/s
[12:15:18] 接收: 6261帧 | FPS:  13 | 已保存: 6260张 | 速率:  228.1 KB/s
[12:15:19] 接收: 6273帧 | FPS:  12 | 已保存: 6272张 | 速率:  228.0 KB/s
[12:15:20] 接收: 6286帧 | FPS:  13 | 已保存: 6285张 | 速率:  228.1 KB/s
[12:15:21] 接收: 6298帧 | FPS:  12 | 已保存: 6297张 | 速率:  228.1 KB/s
[12:15:22] 接收: 6311帧 | FPS:  13 | 已保存: 6310张 | 速率:  228.1 KB/s
[12:15:23] 接收: 6323帧 | FPS:  12 | 已保存: 6322张 | 速率:  228.1 KB/s
[12:15:25] 接收: 6336帧 | FPS:  13 | 已保存: 6335张 | 速率:  228.1 KB/s
[12:15:26] 接收: 6349帧 | FPS:  13 | 已保存: 6348张 | 速率:  228.1 KB/s
[12:15:27] 接收: 6362帧 | FPS:  13 | 已保存: 6361张 | 速率:  228.1 KB/s
[12:15:28] 接收: 6376帧 | FPS:  14 | 已保存: 6375张 | 速率:  228.1 KB/s
[12:15:29] 接收: 6389帧 | FPS:  13 | 已保存: 6388张 | 速率:  228.1 KB/s
[12:15:30] 接收: 6402帧 | FPS:  13 | 已保存: 6401张 | 速率:  228.1 KB/s
[12:15:31] 接收: 6414帧 | FPS:  12 | 已保存: 6413张 | 速率:  228.1 KB/s
[12:15:32] 接收: 6426帧 | FPS:  12 | 已保存: 6425张 | 速率:  228.1 KB/s
[12:15:33] 接收: 6439帧 | FPS:  13 | 已保存: 6438张 | 速率:  228.1 KB/s
[12:15:34] 接收: 6452帧 | FPS:  13 | 已保存: 6451张 | 速率:  228.1 KB/s
[12:15:35] 接收: 6465帧 | FPS:  13 | 已保存: 6464张 | 速率:  228.1 KB/s
[12:15:36] 接收: 6477帧 | FPS:  12 | 已保存: 6476张 | 速率:  228.1 KB/s
[12:15:37] 接收: 6488帧 | FPS:  11 | 已保存: 6487张 | 速率:  228.0 KB/s
[12:15:38] 接收: 6502帧 | FPS:  14 | 已保存: 6501张 | 速率:  228.1 KB/s
[12:15:39] 接收: 6514帧 | FPS:  12 | 已保存: 6513张 | 速率:  228.1 KB/s
[12:15:40] 接收: 6526帧 | FPS:  12 | 已保存: 6525张 | 速率:  228.1 KB/s
[12:15:41] 接收: 6539帧 | FPS:  13 | 已保存: 6538张 | 速率:  228.1 KB/s
[12:15:42] 接收: 6552帧 | FPS:  13 | 已保存: 6551张 | 速率:  228.1 KB/s
[12:15:43] 接收: 6564帧 | FPS:  12 | 已保存: 6563张 | 速率:  228.1 KB/s
[12:15:44] 接收: 6577帧 | FPS:  13 | 已保存: 6576张 | 速率:  228.1 KB/s
[12:15:45] 接收: 6590帧 | FPS:  13 | 已保存: 6589张 | 速率:  228.1 KB/s
[12:15:46] 接收: 6602帧 | FPS:  12 | 已保存: 6601张 | 速率:  228.1 KB/s
[12:15:47] 接收: 6615帧 | FPS:  13 | 已保存: 6614张 | 速率:  228.1 KB/s
[12:15:48] 接收: 6628帧 | FPS:  13 | 已保存: 6627张 | 速率:  228.1 KB/s
[12:15:50] 接收: 6641帧 | FPS:  13 | 已保存: 6640张 | 速率:  228.1 KB/s
[12:15:51] 接收: 6655帧 | FPS:  14 | 已保存: 6654张 | 速率:  228.1 KB/s
[12:15:52] 接收: 6667帧 | FPS:  12 | 已保存: 6666张 | 速率:  228.1 KB/s
[12:15:53] 接收: 6681帧 | FPS:  14 | 已保存: 6680张 | 速率:  228.2 KB/s
[12:15:54] 接收: 6693帧 | FPS:  12 | 已保存: 6692张 | 速率:  228.1 KB/s
[12:15:55] 接收: 6706帧 | FPS:  13 | 已保存: 6705张 | 速率:  228.2 KB/s
[12:15:56] 接收: 6719帧 | FPS:  13 | 已保存: 6718张 | 速率:  228.2 KB/s
[12:15:57] 接收: 6733帧 | FPS:  14 | 已保存: 6732张 | 速率:  228.2 KB/s
